kList(4),            Time(us),                Time%,   Calls (Top 364, sorted by time)
-------------------------------------------------------------
('aten::resize_', 'aten::mul', 'aten::to', 'aten::empty_strided'), 1065.7430000005988, 0.03713340222494657%, 24
('aten::add_', 'aten::view', 'aten::transpose', 'aten::as_strided'), 1060.6219999999794, 0.03695497257275383%, 36
('aten::sub', 'aten::empty', 'aten::mul', 'aten::to'), 1017.0050000000629, 0.03543523694714664%, 24
('aten::mul', 'aten::empty', 'aten::sum', 'aten::empty'), 939.2289999998175, 0.032725308295065474%, 24
('aten::conj', 'aten::mul', 'aten::empty', 'aten::sum'), 928.958999999857, 0.032367473394110446%, 24
('aten::empty', 'aten::eq', 'aten::item', 'aten::_local_scalar_dense'), 914.2319999999381, 0.0318543444178343%, 36
('aten::copy_', 'aten::sub', 'aten::empty', 'aten::mul'), 911.1400000001886, 0.03174661067745771%, 24
('aten::div', 'aten::empty', 'aten::sum', 'aten::empty'), 890.2169999995967, 0.031017596107552867%, 24
('aten::expand', 'aten::as_strided', 'aten::view', 'aten::expand'), 889.2799999999897, 0.030984948463730518%, 12
('aten::mul', 'aten::empty', 'aten::mean', 'aten::sum'), 886.6930000001448, 0.03089481030514057%, 12
('aten::conj', 'aten::div', 'aten::empty', 'aten::sum'), 886.5489999995334, 0.030889792951103907%, 24
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::add'), 875.5949999995646, 0.03050812561857564%, 24
('aten::empty', 'aten::div', 'aten::empty', 'aten::eq'), 826.5169999998179, 0.02879811381048917%, 24
('aten::div', 'aten::empty', 'aten::eq', 'aten::empty'), 810.6240000000107, 0.028244358203787005%, 24
('aten::empty', 'aten::conj', 'aten::neg', 'aten::empty'), 810.1830000003683, 0.028228992557127432%, 24
('aten::masked_fill', 'aten::expand', 'aten::as_strided', 'aten::expand'), 782.9899999999789, 0.027281514031144278%, 12
('aten::copy_', 'aten::resize_', 'aten::masked_fill', 'aten::expand'), 774.2960000000512, 0.02697859128246958%, 12
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::mean'), 749.4750000000699, 0.026113759726809176%, 12
('aten::resize_', 'aten::masked_fill', 'aten::expand', 'aten::as_strided'), 746.0909999999922, 0.02599585190744556%, 12
('aten::transpose', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 717.916999999914, 0.025014192657243625%, 13
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::sub'), 712.6049999999814, 0.024829108042457228%, 24
('aten::empty_strided', 'aten::copy_', 'aten::resize_', 'aten::masked_fill'), 693.1580000001086, 0.024151521351234852%, 12
('aten::embedding', 'aten::reshape', 'aten::view', 'aten::index_select'), 677.5689999999997, 0.023608357936332376%, 2
('aten::empty', 'aten::mean', 'aten::sum', 'aten::empty'), 677.027000000076, 0.02358947317330501%, 12
('aten::copy_', 'aten::view', 'aten::t', 'aten::transpose'), 653.7980000001426, 0.022780111253704948%, 12
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::contiguous'), 647.9259999999995, 0.022575514706629267%, 12
