kList(3),            Time(us),                Time%,   Calls (Top 300, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::mean', 'aten::sum'), 44.22900000028312, 0.00041237147836037467%, 1
('aten::mean', 'aten::sum', 'aten::empty'), 44.51399999996647, 0.0004150286913021408%, 1
('aten::sum', 'aten::empty', 'aten::as_strided'), 11.524000000208616, 0.0001074446385104923%, 1
('aten::empty', 'aten::as_strided', 'aten::fill_'), 2.7639999999664724, 2.5770303786360836e-05%, 1
('aten::as_strided', 'aten::fill_', 'aten::div_'), 17.03500000014901, 0.00015882674566201953%, 1
('aten::fill_', 'aten::div_', 'aten::to'), 23.41800000006333, 0.00021833899206872304%, 1
('aten::div_', 'aten::to', 'aten::empty_strided'), 23.282999999821186, 0.00021708031225054611%, 1
('aten::empty_strided', 'aten::copy_', 'aten::neg'), 15.963999999687076, 0.0001488412191180863%, 1
('aten::copy_', 'aten::neg', 'aten::empty'), 15.48700000019744, 0.00014439388377326321%, 1
('aten::neg', 'aten::resize_', 'aten::ones_like'), 13.281999999657273, 0.00012383544677487858%, 1
('aten::resize_', 'aten::ones_like', 'aten::empty_like'), 12.054999999701977, 0.00011239544578171785%, 1
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 12.265999999828637, 0.00011436271571740966%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 4.743999999947846, 4.423094108633674e-05%, 1
('aten::expand', 'aten::as_strided', 'aten::to'), 9.014000000432134, 8.404251749066952e-05%, 1
('aten::as_strided', 'aten::to', 'aten::div'), 22.492000000551343, 0.00020970538089148594%, 1
('aten::to', 'aten::div', 'aten::to'), 28.80100000044331, 0.00026852768428777343%, 1
('aten::gather_backward', 'aten::zeros', 'aten::empty'), 286669.76499999966, 2.672781089183891%, 1
