kList(4),            Time(us),                Time%,   Calls (Top 359, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::permute'), 68.40999999999917, 0.0006378243422743518%, 3
('aten::reshape', 'aten::view', 'aten::permute', 'aten::as_strided'), 69.096, 0.0006442203004500679%, 3
('aten::view', 'aten::permute', 'aten::as_strided', 'aten::reshape'), 61.80499999999961, 0.0005762422668362307%, 3
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::bmm'), 1798.6019999999996, 0.016769363216830105%, 3
('aten::reshape', 'aten::view', 'aten::bmm', 'aten::empty'), 1799.0489999999986, 0.016773530845553917%, 3
('aten::view', 'aten::bmm', 'aten::empty', 'aten::resize_'), 1792.6129999999991, 0.01671352445077424%, 3
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::view'), 1799.4529999999997, 0.01677729756144749%, 3
('aten::empty', 'aten::resize_', 'aten::view', 'aten::permute'), 73.13600000000065, 0.0006818874593857326%, 3
('aten::resize_', 'aten::view', 'aten::permute', 'aten::as_strided'), 73.63200000000097, 0.0006865119422649651%, 3
('aten::view', 'aten::permute', 'aten::as_strided', 'aten::view'), 73.91700000000037, 0.000689169155209678%, 3
('aten::expand', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 41.31699999999955, 0.0003852212885506421%, 3
('aten::squeeze', 'aten::as_strided', 'aten::squeeze', 'aten::as_strided'), 50.52000000017051, 0.00047102595778116354%, 3
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::slice'), 85.86100000000079, 0.0008005296864788669%, 3
('aten::transpose', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 64.19200000000183, 0.0005984975906925428%, 3
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose'), 2259.9719999991357, 0.021070971414382657%, 3
('aten::empty', 'aten::resize_', 'aten::transpose', 'aten::as_strided'), 50.756999999284744, 0.0004732356401164078%, 3
('aten::resize_', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 51.515999998897314, 0.00048031221774451956%, 3
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::t'), 62.20300000000037, 0.0005799530414046518%, 2
('aten::as_strided', 'aten::copy_', 'aten::t', 'aten::transpose'), 60.372999999999706, 0.0005628909372332951%, 2
('aten::copy_', 'aten::t', 'aten::transpose', 'aten::as_strided'), 59.451999999999, 0.0005543039438224614%, 2
('aten::threshold', 'aten::empty', 'aten::add', 'aten::t'), 74.25100000000054, 0.0006922832223098058%, 2
('aten::empty', 'aten::add', 'aten::t', 'aten::transpose'), 64.5430000000008, 0.0006017701582139234%, 2
('aten::add', 'aten::t', 'aten::transpose', 'aten::as_strided'), 63.405000000000314, 0.0005911599535434289%, 2
('aten::threshold', 'aten::empty', 'aten::add', 'aten::einsum'), 1365.050999999998, 0.01272712697333658%, 2
('aten::empty', 'aten::add', 'aten::einsum', 'aten::unsqueeze'), 1367.9439999999988, 0.01275410001561403%, 2
('aten::add', 'aten::einsum', 'aten::unsqueeze', 'aten::as_strided'), 1366.7919999999995, 0.012743359281184856%, 2
('aten::einsum', 'aten::unsqueeze', 'aten::as_strided', 'aten::permute'), 1360.2690000000005, 0.012682541737190484%, 2
('aten::as_strided', 'aten::permute', 'aten::as_strided', 'aten::permute'), 29.864999999999895, 0.00027844794594392163%, 2
