kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::linear', 'aten::t', 'aten::transpose'), 19163.771000000095, 0.4332725356195442%, 5
('aten::as_strided', 'aten::linear', 'aten::t', 'aten::transpose', 'aten::as_strided'), 19157.72000000003, 0.43313572892773694%, 5
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::linear', 'aten::t'), 19150.410000000033, 0.4329704575813314%, 5
('aten::view', 'aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::select'), 19128.326000000583, 0.4324711617654723%, 15
('aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::select', 'aten::as_strided'), 19127.874000001, 0.4324609425249105%, 15
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::linear'), 19116.36500000005, 0.43220073624229227%, 5
('aten::as_strided', 'aten::view', 'aten::transpose', 'aten::as_strided', 'aten::addmm_'), 18614.491000000155, 0.42085389743162827%, 24
('aten::_convolution', 'aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 18339.369000000122, 0.41463368082891827%, 1
('aten::add_', 'aten::permute', 'aten::as_strided', 'aten::add', 'aten::conv1d'), 18274.05799999996, 0.41315706839319677%, 1
('aten::copy_', 'aten::addmm_', 'aten::select', 'aten::as_strided', 'aten::unsqueeze'), 17785.602000000123, 0.4021135963302866%, 18
('aten::unsqueeze', 'aten::as_strided', 'aten::copy_', 'aten::addmm_', 'aten::select'), 17768.391000000047, 0.40172447387570387%, 18
('aten::as_strided', 'aten::copy_', 'aten::addmm_', 'aten::select', 'aten::as_strided'), 17748.16100000005, 0.4012670950333256%, 18
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::sigmoid', 'aten::mul_'), 17501.333999999682, 0.39568659836857606%, 12
('aten::as_strided', 'aten::addmm_', 'aten::select', 'aten::as_strided', 'aten::select'), 16818.899999999674, 0.3802574894748729%, 18
('aten::addmm_', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 16814.746000000276, 0.3801635719409647%, 18
('aten::matmul', 'aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 16030.277000000002, 0.36242755992406855%, 2
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::contiguous'), 15735.545000000013, 0.35576398202135756%, 2
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::contiguous', 'aten::empty_like'), 15724.481000000029, 0.3555138367167571%, 2
('aten::as_strided', 'aten::matmul', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 15722.492999999988, 0.35546889014539446%, 2
('aten::copy_', 'aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view'), 15328.474999999977, 0.3465605610936778%, 2
('aten::empty', 'aten::copy_', 'aten::view', 'aten::mm', 'aten::empty'), 15315.257999999973, 0.3462617387427279%, 2
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view', 'aten::mm'), 15311.569999999978, 0.34617835697452776%, 2
('aten::addmm_', 'aten::select', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 14658.602000000115, 0.33141544308673593%, 18
('aten::transpose', 'aten::as_strided', 'aten::addmm_', 'aten::select', 'aten::as_strided'), 14138.134999999544, 0.3196482362673399%, 18
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::addmm_', 'aten::select'), 14136.215999999316, 0.31960484971278585%, 18
('aten::empty', 'aten::glu', 'aten::resize_', 'aten::narrow', 'aten::slice'), 13996.777000000162, 0.31645228182341345%, 12
('aten::glu', 'aten::resize_', 'aten::narrow', 'aten::slice', 'aten::as_strided'), 13994.508000000176, 0.316400982140104%, 12
('aten::gather', 'aten::empty', 'aten::resize_', 'aten::cat', 'aten::_cat'), 13365.192000000001, 0.30217281488502545%, 1
('aten::copy_', 'aten::addmm_', 'aten::squeeze', 'aten::as_strided', 'aten::glu'), 13244.977000000043, 0.2994548812450605%, 6
('aten::squeeze', 'aten::as_strided', 'aten::relu', 'aten::threshold', 'aten::empty'), 12852.416000000027, 0.2905794934179282%, 11
('aten::fill_', 'aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze'), 12539.986999999997, 0.2835158051161274%, 1
('aten::as_strided', 'aten::fill_', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 12531.457999999991, 0.2833229734726945%, 1
